"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!",FALSE,76242,NA,2018-02-25 00:56:35,FALSE,NA,"967563946063523840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19516,FALSE,FALSE,NA,NA
"“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar",FALSE,73170,NA,2018-02-24 23:44:11,TRUE,NA,"967545724362739712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19380,FALSE,FALSE,NA,NA
"Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!",FALSE,79410,NA,2018-02-24 23:20:06,FALSE,NA,"967539664692350977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21806,FALSE,FALSE,NA,NA
"The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh",FALSE,82110,NA,2018-02-24 23:16:13,TRUE,NA,"967538684789739520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20805,FALSE,FALSE,NA,NA
"BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4",FALSE,98777,NA,2018-02-24 22:26:15,TRUE,NA,"967526110249537542",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25431,FALSE,FALSE,NA,NA
"Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE",FALSE,93203,NA,2018-02-24 21:18:01,TRUE,NA,"967508938425069568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22438,FALSE,FALSE,NA,NA
"Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ",FALSE,73723,NA,2018-02-24 21:07:43,TRUE,NA,"967506350283599874",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15991,FALSE,FALSE,NA,NA
"Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM",FALSE,79520,NA,2018-02-24 20:16:32,TRUE,NA,"967493467046899712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22584,FALSE,FALSE,NA,NA
"Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh",FALSE,85298,NA,2018-02-24 18:54:14,TRUE,NA,"967472757025001472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20852,FALSE,FALSE,NA,NA
"So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm",FALSE,80672,NA,2018-02-24 13:21:02,FALSE,NA,"967388904952344577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20438,FALSE,FALSE,NA,NA
